,a1,a2,RAAN1,RAAN2,Eval,Users
0,6750,6802,137,269,27,15
1,6804,6858,137,76,27,17
2,6750,6858,77,136,21,12
3,6770,6809,269,77,21,12
4,6874,6809,269,136,22,13
5,6813,6835,122,57,1,1
6,6770,6858,269,76,16,9
7,6798,6801,108,126,0,0
8,6769,6825,276,80,7,5
9,6865,6808,164,37,0,0
10,6816,6858,77,136,13,7
11,6750,6858,77,101,21,12
12,6770,6827,269,77,20,11
13,6750,6858,137,101,20,12
14,6842,6828,148,297,0,0
15,6756,6813,280,61,0,0
16,6869,6831,262,112,0,0
17,6860,6810,274,103,0,0
18,6772,6841,262,68,0,0
19,6844,6823,113,107,0,0
20,6817,6798,45,300,2,1
21,6750,6802,269,77,14,8
22,6750,6858,137,95,17,10
23,6767,6846,107,108,0,0
24,6816,6822,137,136,20,12
25,6847,6827,77,136,19,12
26,6814,6852,241,110,0,0
27,6770,6839,137,269,33,19
28,6815,6831,116,110,2,2
29,6804,6802,137,77,23,15
30,6816,6822,75,269,15,8
31,6874,6802,137,136,18,12
32,6766,6844,54,63,7,4
33,6788,6855,105,69,0,0
34,6816,6839,137,101,15,10
35,6822,6864,230,105,3,2
36,6874,6858,137,77,7,5
37,6779,6811,257,60,4,2
38,6750,6802,136,103,15,9
39,6816,6827,77,77,10,5
40,6816,6809,136,269,22,13
41,6744,6873,84,109,2,1
42,6750,6802,137,76,23,13
43,6822,6826,103,53,0,0
44,6764,6830,287,38,0,0
45,6770,6822,137,101,28,16
46,6850,6827,75,77,16,8
47,6784,6833,104,152,0,0
48,6817,6874,128,40,0,0
49,6816,6827,137,77,22,13
50,6750,6802,137,101,21,12
51,6785,6807,300,68,1,1
52,6818,6841,173,52,0,0
53,6760,6798,307,74,10,6
54,6755,6839,101,98,4,2
55,6770,6827,77,136,27,16
56,6837,6827,49,105,0,0
57,6750,6858,137,77,22,14
58,6741,6838,92,106,2,1
59,6778,6827,137,136,32,17
60,6778,6809,137,136,35,18
61,6750,6858,269,136,14,8
62,6816,6807,175,102,0,0
63,6893,6827,235,49,0,0
64,6847,6858,77,136,11,7
65,6865,6829,134,276,0,0
66,6733,6839,123,117,2,2
67,6770,6858,137,101,27,16
68,6760,6815,283,89,2,1
69,6760,6831,134,134,0,0
70,6801,6826,133,127,0,0
71,6847,6827,75,136,16,10
72,6750,6858,136,136,18,10
73,6806,6809,74,277,1,1
74,6750,6839,137,136,23,12
75,6820,6806,159,140,0,0
76,6874,6827,269,136,19,11
77,6846,6843,141,74,0,0
78,6745,6846,158,77,8,4
79,6850,6827,137,269,17,11
80,6835,6817,121,253,0,0
81,6732,6850,116,174,0,0
82,6857,6823,101,272,4,2
83,6806,6813,133,118,0,0
84,6731,6840,152,83,0,0
85,6859,6854,344,150,0,0
86,6808,6812,322,160,2,1
87,6813,6857,157,19,0,0
88,6876,6795,56,292,4,2
89,6805,6799,352,339,0,0
90,6795,6884,352,267,2,1
91,6819,6811,15,75,4,2
92,6865,6797,149,157,0,0
93,6878,6847,83,200,0,0
94,6836,6862,240,85,0,0
95,6872,6847,185,276,0,0
96,6846,6849,174,153,0,0
97,6836,6795,178,141,0,0
98,6872,6791,115,31,0,0
99,6810,6853,263,186,0,0
