,a1,a2,RAAN1,RAAN2,Eval,Users
0,6777,6790,78,137,84,42
1,6773,6790,136,79,82,41
2,6773,6790,80,137,81,43
3,6862,6774,48,175,2,1
4,6787,6815,43,115,7,4
5,6812,6795,105,137,39,20
6,6773,6790,55,137,52,26
7,6801,6810,77,73,35,19
8,6773,6790,37,79,40,20
9,6882,6790,78,137,48,25
10,6820,6791,76,137,67,34
11,6849,6790,78,137,61,33
12,6777,6786,37,138,42,21
13,6831,6785,65,156,0,0
14,6788,6772,53,134,27,14
15,6775,6788,76,124,30,16
16,6755,6790,62,176,2,1
17,6773,6802,136,138,42,21
18,6833,6778,83,112,6,4
19,6801,6792,115,132,4,2
20,6773,6802,136,137,42,21
21,6798,6792,46,68,28,15
22,6820,6791,80,137,67,35
23,6786,6802,114,79,29,15
24,6781,6790,96,79,44,22
25,6791,6788,163,46,4,2
26,6781,6802,96,135,30,19
27,6759,6773,94,121,5,3
28,6821,6802,77,137,63,33
29,6773,6790,78,138,84,44
30,6798,6801,87,110,11,7
31,6814,6776,100,133,6,4
32,6755,6794,119,98,10,5
33,6777,6783,90,109,10,5
34,6763,6789,77,146,37,20
35,6860,6782,67,154,10,7
36,6790,6802,76,137,60,31
37,6773,6799,136,138,42,21
38,6801,6820,69,43,23,13
39,6800,6796,47,157,2,1
40,6787,6785,154,51,7,4
41,6820,6790,78,79,41,21
42,6787,6805,78,99,43,23
43,6820,6790,80,137,67,35
44,6820,6790,136,137,42,21
45,6772,6815,84,103,17,9
46,6797,6882,48,279,2,1
47,6787,6833,138,132,40,21
48,6801,6842,288,167,0,0
49,6818,6799,182,209,0,0
