,a1,a2,RAAN1,RAAN2,Eval,Users
0,6744,6791,79,138,95,48
1,6736,6772,77,138,87,44
2,6778,6791,78,137,84,43
3,6776,6789,78,138,83,43
4,6795,6781,7,175,1,1
5,6776,6789,55,84,24,14
6,6761,6789,50,120,5,3
7,6764,6807,101,110,4,2
8,6763,6781,70,136,64,36
9,6755,6781,77,137,82,41
10,6762,6788,55,107,15,8
11,6763,6791,135,138,42,21
12,6778,6789,78,138,80,42
13,6744,6760,79,138,95,48
14,6755,6783,78,155,42,22
15,6764,6776,77,162,39,21
16,6757,6804,62,163,4,2
17,6761,6794,73,76,29,15
18,6797,6821,50,37,5,3
19,6770,6791,78,138,81,41
20,6778,6811,62,70,9,5
21,6777,6802,78,138,72,38
22,6749,6760,69,114,34,18
23,6812,6772,76,138,65,33
24,6776,6782,78,176,45,23
25,6770,6796,82,152,23,13
26,6755,6771,39,77,40,21
27,6747,6796,85,118,26,14
28,6751,6791,78,98,48,24
29,6796,6820,63,172,1,1
30,6812,6789,39,138,38,20
31,6816,6766,113,100,4,2
32,6776,6791,78,138,85,43
33,6778,6791,106,138,44,22
34,6776,6804,97,107,5,3
35,6751,6791,66,98,18,9
36,6766,6819,52,171,11,6
37,6749,6804,104,61,8,4
38,6779,6792,64,115,5,3
39,6761,6781,52,70,20,13
40,6778,6781,62,76,30,15
41,6812,6781,76,78,44,23
42,6766,6798,62,80,37,20
43,6751,6772,66,138,56,28
44,6781,6798,77,86,51,27
45,6786,6799,102,53,15,8
46,6736,6782,82,161,37,20
47,6769,6779,94,159,5,3
48,6883,6818,152,88,7,4
49,6879,6804,81,307,14,7
