,a1,a2,RAAN1,RAAN2,Eval,Users
0,6841,6778,136,76,85,43
1,6841,6794,136,76,80,41
2,6789,6794,232,80,76,39
3,6796,6778,232,80,74,38
4,6875,6788,271,75,40,21
5,6867,6774,291,46,3,2
6,6805,6829,295,86,11,6
7,6800,6775,293,76,42,22
8,6861,6794,130,76,38,20
9,6892,6783,285,72,36,18
10,6795,6803,317,89,23,13
11,6806,6783,94,49,12,6
12,6768,6800,217,83,26,14
13,6841,6858,237,76,24,12
14,6841,6794,232,76,52,27
15,6800,6816,293,76,34,18
16,6810,6811,360,97,10,5
17,6812,6764,203,67,32,16
18,6827,6794,232,85,36,19
19,6818,6821,268,67,36,18
20,6796,6770,120,49,7,4
21,6789,6792,168,72,40,21
22,6803,6777,271,111,17,9
23,6800,6816,232,76,48,25
24,6842,6777,223,68,34,17
25,6776,6776,105,84,35,19
26,6896,6795,307,24,8,4
27,6827,6775,319,69,47,24
28,6848,6877,299,49,6,3
29,6800,6788,139,60,42,21
30,6795,6755,349,74,41,22
31,6801,6777,200,111,6,3
32,6785,6834,139,60,48,24
33,6814,6797,331,101,12,6
34,6846,6783,127,75,36,18
35,6861,6794,232,85,36,19
36,6827,6820,237,76,30,16
37,6843,6813,113,84,14,9
38,6863,6789,257,83,37,21
39,6795,6793,262,100,7,4
40,6846,6781,166,86,30,15
41,6816,6786,300,94,9,5
42,6800,6776,101,76,50,26
43,6812,6784,40,18,2,1
44,6854,6807,109,313,10,5
45,6881,6791,161,65,22,11
46,6815,6799,101,155,4,2
47,6878,6833,37,85,14,8
48,6851,6799,151,132,2,1
49,6887,6859,309,169,8,5
