,a1,a2,RAAN1,RAAN2,Eval,Users
0,6814,6858,76,55,2683.440298749104,7
1,6799,6858,76,55,2678.162891989101,7
2,6799,6785,76,329,2651.975604683874,7
3,6788,6858,76,55,2645.0588326400666,7
4,6804,6858,76,55,1145.4592025806633,3
5,6772,6753,164,261,0.0,0
6,6800,6760,156,118,0.0,0
7,6814,6858,136,233,1521.3722240431816,4
8,6775,6860,104,94,0.0,0
9,6789,6798,80,76,1527.7992962032877,4
10,6764,6858,137,55,2619.547908054986,7
11,6764,6782,80,261,370.85453045320173,1
12,6788,6888,233,230,763.9011496137064,2
13,6803,6780,151,103,0.0,0
14,6773,6797,121,96,0.0,0
15,6764,6772,328,101,739.7782570913896,2
16,6768,6794,148,76,1884.617930837283,5
17,6799,6858,328,55,1506.2784935674572,4
18,6764,6762,321,101,737.246816359655,2
19,6781,6799,135,220,0.0,0
20,6792,6870,68,23,0.0,0
21,6812,6792,138,211,0.0,0
22,6789,6778,136,76,2649.221319805615,7
23,6811,6787,143,137,0.0,0
24,6842,6760,153,104,0.0,0
25,6759,6797,166,254,0.0,0
26,6787,6844,78,70,0.0,0
27,6803,6776,106,25,0.0,0
28,6756,6774,362,80,2214.54035642704,6
29,6764,6778,136,230,2609.052853032728,7
30,6799,6778,80,230,778.5460907883607,2
31,6795,6886,214,58,0.0,0
32,6774,6766,158,47,376.09325622205506,1
33,6764,6782,76,101,2257.0350993588736,6
34,6807,6799,101,26,373.9355049364676,1
35,6799,6778,136,261,744.7087575607147,2
36,6764,6782,136,101,2600.5186406293064,7
37,6793,6778,136,111,1137.2143233420802,3
38,6797,6879,203,230,390.5562233559758,1
39,6799,6797,123,233,788.896746617982,2
40,6800,6751,325,65,0.0,0
41,6799,6858,80,55,1169.6503970853155,3
42,6769,6752,296,59,378.6302663700335,1
43,6789,6762,321,76,2257.4262843345255,6
44,6804,6853,312,11,376.8172933989008,1
45,6812,6875,248,253,0.0,0
46,6789,6782,214,339,0.0,0
47,6812,6876,345,280,0.0,0
48,6789,6801,219,223,0.0,0
49,6818,6856,25,179,0.0,0
