,a1,a2,RAAN1,RAAN2,Eval,Users
0,6814,6815,131,70,109,57
1,6803,6781,11,82,86,43
2,6838,6798,353,84,86,43
3,6818,6820,119,77,77,40
4,6851,6791,354,62,32,16
5,6879,6841,62,133,41,22
6,6803,6778,335,271,30,15
7,6862,6824,87,231,33,17
8,6796,6797,210,74,95,49
9,6850,6875,39,53,8,4
10,6790,6818,196,261,22,11
11,6799,6805,175,261,21,11
12,6831,6887,132,67,57,32
13,6831,6818,313,67,82,42
14,6890,6839,113,203,6,3
15,6818,6784,303,270,31,16
16,6841,6798,318,70,82,41
17,6820,6896,66,106,54,28
18,6819,6763,2,110,22,11
19,6771,6836,292,118,18,10
20,6847,6841,76,209,48,25
21,6847,6853,315,25,14,7
22,6834,6791,354,36,13,7
23,6862,6777,84,157,34,18
24,6848,6868,53,67,31,16
25,6847,6854,76,25,46,24
26,6880,6815,131,70,72,36
27,6803,6781,341,82,96,48
28,6881,6770,41,167,11,6
29,6831,6855,362,193,6,3
30,6848,6777,77,254,55,28
31,6836,6850,322,267,30,15
32,6880,6789,76,209,33,17
33,6842,6816,155,103,11,6
34,6788,6793,-27,102,25,14
35,6849,6860,341,232,26,13
36,6822,6830,157,82,70,35
37,6821,6796,71,12,71,37
38,6851,6791,354,332,18,10
39,6821,6796,41,242,22,11
40,6878,6854,328,25,15,8
41,6851,6841,309,332,25,13
42,6849,6836,31,28,2,1
43,6831,6781,11,82,86,43
44,6885,6859,78,243,36,19
45,6816,6818,280,287,2,1
46,6813,6808,287,49,13,7
47,6876,6883,20,200,6,3
48,6836,6808,85,317,64,34
49,6826,6861,199,139,41,24
