,a1,a2,RAAN1,RAAN2,Eval,Users
0,6772,6816,80,137,95861.5203062149,60
1,6772,6783,81,137,94237.64246550937,63
2,6783,6782,76,136,93747.5599962053,71
3,6773,6767,76,137,93657.41178195509,71
4,6783,6782,76,82,71421.2090749733,56
5,6811,6767,81,137,86374.35468357572,56
6,6773,6767,76,207,52731.52999723424,53
7,6772,6783,138,82,81285.00410283206,64
8,6774,6766,80,76,88697.67902974464,59
9,6790,6823,98,144,10709.264802478363,9
10,6792,6794,58,191,11975.712700878561,10
11,6779,6758,74,83,71547.38975866644,63
12,6778,6801,37,117,13724.46450727832,11
13,6761,6805,119,121,7162.024019447292,8
14,6760,6784,51,64,26039.683187574265,30
15,6784,6809,76,136,92428.19111112125,69
16,6783,6787,76,136,92775.88358167143,69
17,6788,6789,90,160,18224.893176983056,20
18,6780,6779,52,76,59367.923020801485,53
19,6755,6768,48,117,18622.177772680363,16
20,6822,6751,103,57,17400.95005999889,17
21,6811,6819,89,130,15559.934755012962,18
22,6778,6768,138,85,76563.90233733499,65
23,6781,6812,52,227,19721.602309831054,16
24,6772,6766,80,169,54777.81771045238,44
25,6780,6795,77,207,49680.728332117455,41
26,6810,6795,36,116,11371.631508487515,8
27,6764,6778,88,145,41921.43475739584,60
28,6770,6818,41,95,11759.543466174307,12
29,6762,6759,138,82,86349.02281808543,65
30,6784,6767,77,132,64081.99424413823,61
31,6791,6798,64,176,16302.508811679618,25
32,6777,6776,101,129,16677.242762067573,28
33,6818,6755,93,53,20218.514459691003,16
34,6780,6775,76,76,74768.84551045806,53
35,6783,6782,76,80,73438.87416786663,51
36,6784,6788,70,87,61457.86566035874,64
37,6790,6797,31,116,11018.150523922217,8
38,6783,6787,68,210,41545.79877513821,38
39,6777,6790,52,122,13411.928811104854,14
40,6786,6813,87,164,35310.704723663264,44
41,6780,6816,81,76,73967.34922704888,42
42,6775,6772,53,115,22309.579989860664,16
43,6796,6759,111,93,13550.476530296146,17
44,6784,6782,42,143,21788.806554670693,30
45,6786,6766,103,77,57265.3504213828,50
46,6805,6754,134,78,74283.70331054322,65
47,6838,6846,218,19,1224.125094043242,2
48,6882,6840,56,61,7589.4811398433885,4
49,6885,6843,225,333,10979.967912566095,10
