,a1,a2,RAAN1,RAAN2,Eval,Users
0,6768,6777,76,137,272.0990099009901,52
1,6730,6777,76,79,262.1576354679803,41
2,6786,6776,69,79,250.04455445544556,53
3,6786,6776,77,137,248.1492537313433,51
4,6730,6776,76,137,381.02463054187194,61
5,6727,6780,40,86,55.45812807881774,26
6,6786,6777,76,79,181.23762376237624,35
7,6795,6784,107,112,2.7920792079207923,6
8,6801,6781,70,85,161.92079207920793,52
9,6814,6758,104,71,95.17241379310344,35
10,6786,6777,75,79,180.89108910891088,36
11,6789,6774,76,96,104.55445544554456,33
12,6804,6780,50,103,8.475247524752476,8
13,6800,6780,74,140,109.9009900990099,40
14,6790,6773,77,137,240.63366336633663,49
15,6798,6851,75,74,64.08,24
16,6772,6768,77,72,219.02463054187191,47
17,6744,6797,76,109,150.73891625615764,40
18,6762,6775,39,192,3.458128078817734,6
19,6786,6776,77,72,193.3366336633663,46
20,6761,6856,65,83,48.689655172413794,28
21,6786,6839,69,83,92.75742574257424,41
22,6790,6777,77,79,175.72277227722773,34
23,6790,6789,76,79,149.52970297029702,35
24,6763,6771,38,67,53.152709359605915,26
25,6786,6762,115,84,126.35467980295566,45
26,6769,6776,61,75,127.67164179104478,39
27,6768,6789,77,79,185.04950495049505,35
28,6800,6769,71,78,214.19306930693068,49
29,6778,6762,72,113,75.51724137931033,35
30,6794,6778,60,32,3.768472906403941,5
31,6777,6773,84,63,145.04950495049505,50
32,6759,6781,65,176,26.600985221674875,18
33,6764,6773,84,77,213.30541871921181,43
34,6769,6784,103,112,4.99009900990099,7
35,6783,6759,101,154,3.275862068965517,5
36,6786,6776,76,137,223.77611940298507,47
37,6790,6776,77,77,157.32178217821783,33
38,6761,6786,84,82,186.8226600985222,41
39,6786,6765,63,72,110.81773399014779,38
40,6779,6757,32,109,2.0689655172413794,5
41,6772,6768,82,156,105.32178217821782,37
42,6777,6773,84,67,218.1237623762376,57
43,6792,6765,63,77,178.3069306930693,46
44,6748,6791,91,95,23.694581280788178,13
45,6785,6763,40,55,14.039408866995073,10
46,6781,6803,115,103,5.782178217821782,8
47,6777,6777,77,118,119.05940594059406,37
48,6826,6847,293,195,0.4626865671641791,3
49,6830,6800,132,164,1.2376237623762376,5
