,a1,a2,RAAN1,RAAN2,Eval,Users
0,6760,6738,68,76,45,24
1,6760,6767,68,76,42,23
2,6776,6767,76,67,38,20
3,6759,6783,68,77,35,20
4,6776,6811,68,136,31,19
5,6779,6783,76,77,24,13
6,6774,6805,57,73,6,3
7,6795,6751,70,40,6,3
8,6792,6780,105,51,0,0
9,6759,6790,68,77,30,18
10,6759,6783,78,67,25,13
11,6806,6811,68,136,23,15
12,6742,6782,100,97,4,2
13,6791,6753,53,66,4,2
14,6759,6794,77,136,41,23
15,6764,6790,78,67,30,16
16,6775,6790,77,76,25,13
17,6790,6811,43,71,4,2
18,6769,6804,34,172,0,0
19,6776,6781,68,136,41,24
20,6775,6768,65,55,4,2
21,6768,6783,117,136,36,20
22,6774,6795,68,75,24,15
23,6784,6781,54,136,37,21
24,6759,6811,77,136,36,21
25,6784,6801,64,113,0,0
26,6768,6783,117,75,18,10
27,6770,6786,101,45,6,3
28,6806,6811,54,136,24,15
29,6768,6793,46,165,4,2
30,6779,6783,78,136,38,22
31,6766,6800,95,37,0,0
32,6776,6805,54,123,8,4
33,6760,6783,68,77,38,21
34,6775,6811,76,136,39,23
35,6759,6738,68,76,42,23
36,6779,6783,78,67,25,14
37,6759,6811,68,136,35,22
38,6776,6767,68,102,15,9
39,6751,6778,93,100,6,3
40,6778,6790,76,102,25,13
41,6793,6769,62,110,0,0
42,6772,6780,60,38,2,1
43,6779,6783,78,76,24,14
44,6766,6810,105,46,2,1
45,6754,6795,86,134,11,6
46,6756,6797,38,37,0,0
47,6788,6824,91,128,1,1
48,6772,6767,107,73,1,1
49,6790,6810,46,138,2,1
50,6769,6782,64,53,2,2
51,6781,6791,69,69,4,2
52,6755,6795,98,37,2,1
53,6784,6767,68,136,45,25
54,6759,6811,54,136,25,15
55,6751,6792,70,113,7,4
56,6745,6789,30,72,2,1
57,6764,6783,78,75,24,14
58,6760,6738,68,67,23,12
59,6789,6786,47,48,2,1
60,6806,6783,78,136,37,22
61,6776,6794,68,75,24,14
62,6779,6783,68,67,17,9
63,6774,6794,68,136,37,23
64,6779,6811,78,67,23,14
65,6769,6770,99,81,12,6
66,6794,6753,110,96,0,0
67,6760,6767,78,67,27,14
68,6740,6768,49,112,0,0
69,6779,6781,54,136,37,21
70,6787,6796,22,104,0,0
71,6775,6772,105,51,0,0
72,6779,6781,54,76,29,15
73,6776,6794,76,86,29,16
74,6756,6757,104,86,9,5
75,6789,6817,86,161,8,5
76,6775,6765,64,110,0,0
77,6779,6781,78,77,26,16
78,6784,6811,68,136,30,18
79,6792,6780,98,43,4,2
80,6778,6816,81,135,7,5
81,6787,6829,75,105,12,7
82,6764,6790,56,59,6,3
83,6761,6796,60,56,6,3
84,6784,6802,49,54,9,5
85,6759,6811,68,86,21,13
86,6772,6766,64,99,2,1
87,6776,6790,68,77,26,15
88,6741,6777,77,76,25,14
89,6786,6802,107,107,0,0
90,6772,6821,43,159,2,1
91,6798,6804,29,97,0,0
92,6816,6872,281,40,0,0
93,6806,6798,318,248,0,0
94,6867,6835,241,150,0,0
95,6816,6778,204,321,4,2
96,6857,6814,346,239,0,0
97,6793,6797,215,237,0,0
98,6850,6884,158,170,0,0
99,6832,6862,291,24,0,0
