,a1,a2,RAAN1,RAAN2,Eval,Users
0,6760,6743,76,136,58,31
1,6760,6743,77,136,57,29
2,6768,6743,77,136,57,29
3,6760,6773,67,136,55,29
4,6768,6787,76,136,52,30
5,6775,6743,133,136,38,19
6,6788,6753,101,112,6,3
7,6777,6795,97,127,1,1
8,6760,6779,68,136,43,26
9,6773,6765,133,136,31,17
10,6779,6744,144,135,7,4
11,6786,6743,100,136,42,21
12,6773,6743,67,136,55,28
13,6760,6779,76,136,44,27
14,6785,6742,149,174,1,1
15,6743,6775,29,173,0,0
16,6760,6743,100,136,42,21
17,6768,6787,133,136,32,18
18,6773,6779,76,135,22,13
19,6767,6753,40,162,0,0
20,6769,6791,85,136,31,17
21,6760,6765,133,136,31,17
22,6786,6787,133,136,32,18
23,6770,6725,94,172,2,1
24,6776,6747,85,126,4,2
25,6791,6777,89,155,2,1
26,6756,6771,97,166,0,0
27,6771,6735,110,127,2,1
28,6773,6779,76,136,45,27
29,6781,6768,156,143,0,0
30,6768,6773,133,136,35,19
31,6777,6757,161,133,0,0
32,6776,6781,133,136,29,17
33,6773,6790,83,138,0,0
34,6773,6784,100,136,36,19
35,6760,6781,67,136,49,27
36,6768,6730,92,131,2,1
37,6760,6743,68,136,57,30
38,6790,6777,119,161,0,0
39,6755,6784,148,125,0,0
40,6776,6743,77,136,57,29
41,6768,6764,71,147,2,1
42,6787,6727,122,148,0,0
43,6785,6799,110,100,4,2
44,6756,6770,123,108,0,0
45,6773,6787,76,136,53,30
46,6774,6765,126,152,0,0
47,6773,6781,76,136,50,29
48,6769,6786,59,168,2,1
49,6761,6750,78,139,10,6
50,6760,6773,100,136,39,21
51,6781,6787,53,101,5,3
52,6785,6764,30,142,0,0
53,6771,6777,168,135,1,1
54,6784,6786,70,127,8,4
55,6761,6755,113,97,0,0
56,6780,6732,64,106,2,1
57,6767,6785,170,99,2,1
58,6776,6785,125,172,0,0
59,6769,6760,53,144,7,4
60,6785,6775,82,119,5,3
61,6765,6784,81,152,13,7
62,6769,6781,45,159,2,1
63,6774,6743,76,136,57,30
64,6752,6753,127,121,2,1
65,6774,6781,76,136,48,28
66,6767,6742,82,150,8,5
67,6747,6779,88,119,6,3
68,6749,6778,90,139,5,3
69,6768,6781,77,136,48,27
70,6746,6731,60,126,2,1
71,6781,6799,114,172,0,0
72,6776,6758,105,144,4,2
73,6773,6781,133,136,29,17
74,6783,6737,136,128,28,16
75,6759,6794,60,132,2,1
76,6763,6756,87,104,6,4
77,6768,6781,100,136,33,19
78,6761,6753,125,96,0,0
79,6866,6850,45,114,2,1
80,6846,6823,196,72,1,1
81,6875,6862,76,188,12,6
82,6796,6831,67,247,17,9
83,6790,6810,249,179,0,0
84,6779,6870,50,35,0,0
85,6875,6824,155,40,0,0
86,6871,6858,356,39,2,1
87,6847,6805,314,207,4,2
88,6792,6802,171,72,2,1
89,6816,6813,11,331,2,1
90,6808,6873,253,196,0,0
91,6863,6779,19,344,0,0
92,6824,6826,162,172,0,0
93,6810,6809,242,282,0,0
94,6838,6858,131,57,2,1
95,6787,6838,343,114,0,0
96,6778,6878,106,329,4,2
97,6778,6842,42,343,1,1
98,6836,6857,224,314,6,3
99,6806,6836,106,67,9,6
