,a1,a2,RAAN1,RAAN2,Eval,Users
0,6798,6800,85,135,122,61
1,6798,6824,85,135,122,61
2,6822,6799,85,132,116,58
3,6826,6817,85,135,116,58
4,6782,6836,70,109,82,41
5,6788,6829,278,14,18,9
6,6798,6824,222,63,40,20
7,6783,6835,253,-12,10,5
8,6770,6791,20,63,38,19
9,6829,6785,64,168,30,15
10,6790,6864,70,85,94,47
11,6792,6858,97,78,58,29
12,6776,6799,278,14,20,10
13,6826,6822,43,91,30,15
14,6821,6861,220,67,36,18
15,6761,6854,106,107,10,5
16,6783,6885,55,127,16,8
17,6761,6845,275,40,24,12
18,6787,6833,88,128,78,39
19,6826,6822,222,90,36,18
20,6805,6785,51,123,28,14
21,6796,6788,107,145,18,9
22,6781,6791,20,63,38,19
23,6824,6799,220,67,72,36
24,6803,6852,278,14,16,8
25,6842,6822,45,123,10,5
26,6826,6817,97,132,54,27
27,6792,6855,97,90,16,8
28,6833,6814,220,68,74,37
29,6804,6839,73,166,94,47
