,sat1,sat2,a1,a2,RAAN1,RAAN2,Eval,Users
0,77,0,6801,6837,74,25,34137.81903882591,16
1,75,0,6805,6821,135,64,21926.11321005155,20
2,75,0,6783,6855,59,142,21408.043186480136,5
3,74,0,6844,6834,267,319,20901.94560811956,8
4,63,0,6864,6811,76,227,19740.17554512728,10
5,58,2,6835,6846,275,292,0.0,0
6,65,3,6878,6856,248,65,0.0,0
7,29,34,6813,6826,30,317,7024.458250128301,5
8,67,0,6846,6865,59,142,11117.805602751727,4
9,36,0,6801,6812,63,259,3701.9934049433095,4
10,68,0,6863,6827,243,336,0.0,0
11,69,0,6786,6778,53,208,17453.635866576704,7
12,45,36,6871,6798,356,273,7748.819715038271,4
13,74,0,6808,6863,57,229,21404.130210824413,5
14,62,1,6778,6853,98,148,11636.955410418976,4
15,79,0,6865,6863,315,322,20105.25664675062,6
16,33,30,6820,6878,1,329,9445.97746758031,3
17,43,11,6792,6800,62,181,4382.061927295997,4
18,57,23,6821,6805,25,286,729.6157196839622,1
19,60,0,6789,6803,44,71,8616.851119321245,3
20,28,46,6801,6778,54,172,10160.5351300277,6
21,45,0,6871,6798,356,94,6184.609927519694,2
22,34,0,6789,6856,174,187,0.0,0
23,67,0,6844,6865,267,315,16192.846437285121,6
24,61,11,6787,6817,54,214,20843.85919963799,5
25,55,11,6819,6827,304,236,8676.178223819797,6
26,61,12,6792,6846,340,210,3613.2519139389005,3
27,61,6,6859,6847,268,69,17136.36693320057,8
28,74,0,6807,6834,49,319,12529.956458653889,4
29,33,25,6849,6795,28,238,0.0,0
30,60,11,6804,6856,68,44,26327.514506834064,18
31,30,45,6845,6829,68,271,5436.982865823286,3
32,63,0,6864,6855,59,227,9900.57622104392,4
33,36,36,6839,6803,63,187,9912.72975835819,2
34,57,0,6799,6783,55,304,24562.230202606348,5
35,71,0,6886,6850,276,33,0.0,0
36,47,23,6814,6864,74,206,16363.53272297953,9
37,74,0,6804,6835,108,82,2510.2905791198714,2
38,78,0,6809,6801,246,268,1252.7397169135293,1
39,65,9,6790,6817,144,38,3380.221603214725,2
40,67,0,6800,6861,114,166,4440.360154758402,5
41,34,40,6842,6856,174,75,9099.161668059689,6
42,36,39,6797,6835,59,293,7956.176665788241,4
43,37,30,6858,6811,76,227,16480.95192089381,12
44,34,40,6842,6856,76,227,16783.434708814326,10
45,61,0,6789,6803,334,206,18988.731199105518,7
46,75,0,6871,6798,135,64,0.0,0
47,80,0,6849,6815,231,326,26665.632595602077,8
48,55,19,6804,6860,79,188,29638.02985713754,18
49,40,39,6822,6804,236,293,1603.0075569378675,2
50,41,39,6855,6846,178,314,19021.36200231179,3
51,60,0,6789,6855,59,187,15501.092320906148,4
52,78,0,6843,6859,182,328,1317.544551399542,1
53,53,0,6786,6825,165,38,10350.424543285953,3
54,66,6,6787,6795,51,205,10462.286499361971,3
55,80,0,6825,6826,11,305,3287.3709623443774,2
56,75,0,6822,6804,135,64,12108.967232196483,11
57,54,0,6813,6848,354,195,12388.711126436705,3
58,61,0,6809,6861,258,71,19435.963663875296,1
59,75,0,6783,6855,59,304,21408.043186480136,5
60,45,0,6871,6795,49,93,3339.2240770355365,1
61,50,9,6853,6860,212,340,0.0,0
62,28,42,6853,6870,162,56,9409.194092430973,4
63,40,37,6822,6803,236,187,10597.875049538767,3
64,33,0,6858,6878,336,329,4130.582048812626,4
65,37,41,6860,6859,11,359,6762.785269120642,2
66,45,0,6801,6837,74,25,19147.786874904497,14
67,36,30,6820,6806,1,273,7852.303912990315,2
68,37,0,6814,6822,187,268,9163.66383000976,1
69,77,0,6809,6846,334,206,20013.656411235585,7
70,77,0,6878,6861,49,71,8660.123339339814,3
71,49,30,6882,6801,287,186,2509.8508906029365,1
72,39,29,6820,6882,288,204,1561.9109338340386,1
73,78,0,6832,6810,2,231,11866.580290929993,2
74,62,0,6880,6855,94,43,2370.033659175599,2
75,46,29,6854,6819,153,233,11182.705277482946,4
76,35,45,6822,6861,66,56,14969.19142979616,6
77,41,37,6779,6851,202,299,5484.883770006338,2
78,42,36,6856,6800,8,267,16176.42000915574,8
79,41,31,6852,6836,275,121,841.4472628061881,1
80,78,0,6864,6813,235,104,756.3725341577965,1
81,53,0,6815,6859,61,10,5744.144428385482,4
82,40,28,6883,6809,98,76,23714.45325604244,13
83,48,28,6818,6797,174,46,6672.692148933662,1
84,37,41,6883,6822,296,36,1237.7145695796662,1
85,80,0,6837,6860,69,160,780.3324853518716,1
86,60,0,6800,6876,178,76,762.9254281608792,1
87,77,0,6828,6782,24,256,989.5005779910434,1
88,42,30,6847,6834,219,182,0.0,0
89,28,46,6841,6858,52,280,4457.19729276991,3
90,32,32,6799,6868,94,295,3709.6369149495295,3
91,62,0,6833,6789,219,344,1101.5685953214343,1
92,63,0,6873,6840,348,205,4132.966846340165,3
93,73,0,6829,6821,290,325,0.0,0
94,49,28,6882,6852,46,322,12968.34815592191,2
95,57,0,6885,6856,1,75,9400.953329323695,2
96,78,0,6795,6794,340,199,6155.339833277111,5
97,67,0,6864,6886,43,195,3894.9117154220266,1
98,62,0,6883,6786,148,40,0.0,0
99,34,34,6838,6853,61,202,3325.93347491802,4
