,sat1,sat2,a1,a2,RAAN1,RAAN2,Eval,Users
0,77,0,6801,6837,74,25,34137.81903882591,16
1,55,19,6804,6860,79,188,29638.02985713754,18
2,80,0,6849,6815,231,326,26665.632595602077,8
3,60,11,6804,6856,68,44,26327.514506834064,18
4,57,0,6799,6783,55,304,24562.230202606348,5
5,47,3,6778,6818,312,211,18816.85921846787,6
6,60,11,6801,6856,68,44,19594.9344376792,15
7,66,3,6798,6778,48,341,11963.845941266069,2
8,63,0,6874,6826,186,338,2160.338102130474,1
9,60,6,6781,6778,28,234,959.4424957350766,1
10,57,0,6799,6846,334,304,15343.414995315728,6
11,45,31,6862,6828,238,1,6865.401290081454,3
12,69,0,6801,6778,53,208,16071.64590416451,6
13,75,0,6787,6817,54,142,31003.39531636201,6
14,48,30,6847,6821,243,335,4054.4357384212108,3
15,75,0,6799,6783,59,304,17868.92870413002,4
16,75,0,6805,6855,59,304,18011.067317145244,4
17,69,0,6786,6778,55,304,33244.64110933763,6
18,58,2,6792,6831,77,198,51424.29446881017,18
19,77,0,6864,6807,78,239,11647.306648652922,9
20,37,42,6789,6830,91,235,10594.429529453362,8
21,59,12,6793,6819,170,96,999.6264566796929,1
22,69,0,6794,6870,55,46,29920.453064978763,5
23,41,28,6804,6856,57,44,11126.623730912468,4
24,60,18,6871,6800,56,206,14243.424907325312,5
25,61,11,6792,6876,68,254,22194.553144892918,12
26,61,0,6844,6817,54,214,11657.994134784112,4
27,61,0,6786,6778,54,214,22061.479854212394,6
28,55,3,6813,6854,277,109,0.0,0
29,32,17,6788,6823,65,51,4187.034110180735,4
30,61,0,6787,6855,59,214,15472.869197846412,4
31,74,0,6808,6811,76,229,54781.245413499186,15
32,45,34,6870,6841,159,296,0.0,0
33,61,0,6809,6861,258,227,19435.963663875296,1
34,62,4,6859,6844,312,291,13488.453347090199,4
35,34,32,6791,6869,62,190,10019.188733437091,5
36,28,35,6871,6808,89,69,3504.5937375599287,3
37,42,20,6793,6828,39,62,2955.9485723329326,2
38,65,6,6778,6778,42,176,11270.76528748127,4
39,40,29,6787,6866,42,135,5137.768356136028,3
40,29,39,6833,6831,249,350,3777.030981799914,3
41,31,44,6795,6815,109,67,14467.310405085982,10
42,80,0,6804,6860,79,188,52787.72614663213,26
43,49,28,6815,6829,323,200,12135.624476333369,5
44,30,13,6804,6848,56,36,10786.497307959926,4
45,69,10,6803,6837,91,16,14069.302629144306,6
46,69,0,6786,6837,53,208,17453.635866576704,7
47,74,0,6844,6863,57,229,13833.928565652535,5
48,74,0,6808,6855,59,304,16154.548687918517,4
49,40,37,6888,6802,63,92,6029.341177715928,3
50,79,2,6790,6816,91,243,15382.74209318046,7
51,63,0,6854,6871,327,283,8016.657316696129,2
52,59,13,6793,6861,52,124,12777.247652445207,5
53,29,50,6849,6846,185,275,915.2799238313892,1
54,49,29,6783,6841,94,130,7991.156557997829,5
55,75,2,6805,6838,345,244,4462.20777796925,3
56,79,0,6787,6817,54,322,31696.594002913604,6
57,75,0,6783,6855,59,142,21408.043186480136,5
58,74,0,6865,6863,315,322,17884.600224145113,6
59,64,12,6800,6778,51,273,10223.247867471644,4
60,53,0,6816,6878,243,110,0.0,0
61,75,0,6805,6855,59,64,18011.067317145244,4
62,75,0,6783,6855,315,322,29383.483414072165,6
63,74,0,6809,6863,258,229,22869.36774038845,1
64,75,2,6855,6869,346,295,3742.2559447808007,3
65,40,30,6818,6836,75,43,23791.888152300475,12
66,55,0,6845,6802,113,248,0.0,0
67,65,6,6794,6797,23,252,2555.4656072931307,3
68,41,0,6789,6846,334,314,9561.578601502108,3
69,37,35,6848,6783,265,230,16467.11851922595,8
70,45,33,6798,6779,86,70,24839.465759554776,15
71,50,28,6794,6885,74,305,22834.643808049783,13
72,60,0,6778,6837,79,348,53775.915873469494,28
73,41,37,6822,6793,128,67,18947.718325552123,10
74,35,46,6885,6875,328,243,6422.128031218441,2
75,64,0,6881,6844,0,92,7816.969665831727,2
76,63,0,6816,6821,275,112,0.0,0
77,54,0,6819,6849,207,163,1057.4356109911496,1
78,62,0,6830,6856,268,222,26039.00442501752,8
79,31,47,6784,6872,245,99,4913.664494092922,2
80,77,0,6805,6797,293,62,947.425325875611,1
81,70,0,6874,6782,229,2,19273.531222454025,4
82,44,30,6875,6805,152,222,2321.9650940600404,1
83,29,28,6830,6802,7,214,938.3114693566392,1
84,33,36,6828,6785,46,335,13023.347300216315,4
85,49,29,6778,6824,304,135,13436.207312500377,8
86,74,0,6837,6855,115,253,811.968993311828,1
87,45,33,6854,6835,269,349,20473.84822467748,6
88,70,0,6886,6816,113,311,0.0,0
89,29,37,6786,6873,70,359,11963.881875065445,6
90,33,36,6863,6844,72,191,0.0,0
91,37,39,6837,6810,341,282,1470.7346012077085,2
92,36,39,6788,6794,193,91,6715.063284161437,4
93,63,0,6843,6793,78,252,14939.944517397033,12
94,59,0,6799,6830,190,32,2506.3367722251896,1
95,53,0,6795,6791,255,58,4438.64454961746,2
96,38,42,6794,6849,75,176,27842.588084832467,11
97,69,0,6781,6832,194,346,4095.6490002517085,3
98,31,44,6860,6819,238,316,10665.22047456949,5
99,55,0,6796,6781,219,220,886.0634299993035,1
