,a1,a2,RAAN1,RAAN2,Eval,Users
0,6804,6788,137,79,70049.87231458427,39
1,6783,6788,137,133,47290.829869446716,20
2,6887,6787,333,79,44172.304802912404,31
3,6892,6764,237,136,43234.86348920593,21
4,6783,6789,326,79,40697.62687142608,26
5,6766,6795,160,110,1240.2463704659312,2
6,6783,6821,326,228,10956.68597823355,8
7,6783,6819,65,79,35476.97111554945,29
8,6802,6814,103,47,6143.550011054182,4
9,6806,6813,168,0,1288.92499209995,1
10,6828,6794,210,92,6437.5326281940925,6
11,6873,6786,236,80,29111.074057315607,17
12,6767,6803,207,135,14302.82748812413,9
13,6769,6833,90,113,13674.407600445522,14
14,6783,6819,226,133,14516.284085481795,18
15,6858,6779,266,45,8687.903303133127,7
16,6772,6822,260,211,4448.481427287359,4
17,6886,6752,260,154,0.0,0
18,6782,6837,290,188,2059.926238868393,1
19,6778,6775,36,285,935.4408974928847,1
20,6874,6781,137,133,29377.98148527774,18
21,6767,6803,137,135,57356.95187927148,20
22,6787,6871,106,268,9616.28619348229,5
23,6817,6777,99,42,6033.828840939521,3
24,6861,6771,246,89,16365.10954044941,16
25,6788,6801,341,105,2223.939169454541,2
26,6800,6873,105,28,5078.455973460856,5
27,6783,6781,65,133,16593.052481183433,20
28,6764,6806,226,228,15378.14845875185,8
29,6874,6789,226,79,36003.26106770193,25
30,6817,6787,226,300,4089.2197266707017,6
31,6856,6789,269,79,35854.42849314829,20
32,6767,6789,361,59,4884.740679252351,3
33,6805,6828,80,21,36301.89132570919,25
34,6801,6789,322,96,6986.857135836431,6
35,6843,6772,233,90,15261.030229515254,13
36,6873,6803,239,79,18541.90418046509,13
37,6789,6815,334,108,8301.798230202,6
38,6791,6806,58,228,12201.55036689395,7
39,6863,6819,65,79,33602.60230312269,27
40,6892,6776,371,40,0.0,0
41,6822,6777,154,45,4238.642699869546,4
42,6767,6817,228,236,12073.014698163413,8
43,6843,6788,252,82,12795.698021645385,11
44,6806,6862,58,305,12984.018505859352,8
45,6804,6787,269,11,9763.970134002953,6
46,6905,6788,300,83,27919.409640458125,31
47,6776,6807,226,244,7322.375570710838,6
48,6788,6806,82,78,56661.819948149765,34
49,6768,6776,140,169,15288.435893967333,17
