,a1,a2,RAAN1,RAAN2,Eval,Users
0,6808,6799,86,132,118,59
1,6826,6818,133,79,108,54
2,6831,6841,133,79,108,54
3,6814,6818,312,79,86,43
4,6814,6841,95,261,24,12
5,6793,6836,100,84,70,35
6,6815,6841,95,101,12,6
7,6801,6842,93,116,28,14
8,6859,6807,348,331,20,10
9,6832,6830,272,244,16,8
10,6814,6836,75,267,72,36
11,6834,6800,60,273,26,13
12,6855,6789,321,344,22,11
13,6798,6808,47,139,54,27
14,6857,6834,97,294,14,7
15,6818,6833,67,287,68,34
16,6841,6827,318,75,68,34
17,6831,6821,93,276,26,13
18,6792,6813,114,132,60,30
19,6832,6823,149,60,14,7
20,6832,6821,106,66,56,28
21,6814,6818,86,267,78,39
22,6814,6818,133,277,52,26
23,6826,6818,86,79,84,42
24,6814,6824,312,277,30,15
25,6833,6825,46,272,26,13
26,6826,6825,340,58,26,13
27,6832,6848,108,263,18,9
28,6848,6810,306,303,18,9
29,6819,6827,328,67,78,39
