,a1,a2,RAAN1,RAAN2,Eval,Users
0,6798,6800,85,135,122,61
1,6790,6817,70,85,120,60
2,6822,6800,85,67,118,59
3,6765,6800,193,77,76,38
4,6872,6854,300,234,28,14
5,6837,6788,62,63,38,19
6,6768,6816,186,168,12,6
7,6807,6817,118,121,12,6
8,6830,6755,241,134,54,27
9,6822,6819,96,8,16,8
10,6765,6800,193,90,38,19
11,6822,6818,85,132,116,58
12,6807,6744,287,62,70,35
13,6812,6817,69,26,72,36
14,6811,6834,112,93,24,12
15,6814,6850,92,160,20,10
16,6802,6758,254,64,72,36
17,6821,6827,221,61,22,11
18,6791,6811,92,109,28,14
19,6831,6813,32,95,14,7
20,6839,6800,85,135,84,42
21,6848,6828,270,59,26,13
22,6770,6820,109,58,26,13
23,6841,6824,64,120,36,18
24,6817,6817,48,26,8,4
25,6806,6799,114,132,50,25
26,6775,6835,44,51,16,8
27,6814,6736,255,0,8,4
28,6854,6831,157,307,20,10
29,6820,6841,0,298,14,7
