,sat1,sat2,a1,a2,RAAN1,RAAN2,Eval,Users
0,72,8,6778,6823,127,229,2157.436498851299,2
1,74,6,6778,6863,145,201,0.0,0
2,78,0,6778,6821,137,161,45365.60650054006,21
3,60,11,6778,6812,116,270,4389.739905808137,4
4,52,18,6778,6830,175,134,0.0,0
5,71,0,6778,6872,137,161,41074.575688136596,19
6,78,0,6782,6821,137,218,39881.5059285759,14
7,78,0,6782,6817,137,242,39881.5059285759,14
8,61,20,6778,6815,158,217,0.0,0
9,79,0,6780,6802,127,234,952.138268340339,1
10,68,0,6778,6821,137,264,43537.58989647611,21
11,71,0,6782,6817,137,264,43262.206578810714,20
12,65,0,6779,6836,139,262,2255.949845922234,2
13,51,18,6778,6821,106,138,2088.0155605317104,2
14,59,0,6778,6804,131,145,0.0,0
15,65,4,6778,6815,100,136,8386.705670167936,2
16,78,0,6778,6821,137,242,45365.60650054006,21
17,71,0,6778,6821,137,264,41074.575688136596,19
18,65,13,6778,6824,174,250,0.0,0
19,78,0,6782,6804,137,218,39881.5059285759,14
20,71,0,6778,6834,137,242,41074.575688136596,19
21,68,0,6782,6817,137,264,36744.15022941955,21
22,34,39,6794,6830,151,284,0.0,0
23,62,15,6790,6835,115,161,0.0,0
24,80,0,6778,6814,166,291,2419.550612689176,2
25,78,0,6782,6821,137,242,39881.5059285759,14
26,69,0,6778,6833,105,204,3305.3959055921896,3
27,29,48,6797,6833,106,189,1411.6248053966192,1
28,58,9,6794,6853,109,172,847.0529329829633,1
29,64,7,6778,6825,98,152,5089.40655219857,2
30,33,31,6778,6826,155,183,0.0,0
31,73,0,6778,6872,137,218,43399.8330572104,18
32,64,0,6778,6799,120,173,0.0,0
33,62,10,6792,6856,125,256,0.0,0
34,43,36,6794,6856,155,204,1535.2352044542204,1
35,58,7,6795,6785,158,138,0.0,0
36,66,7,6788,6821,144,266,2734.778807550494,2
37,57,0,6780,6805,139,253,1878.0594314430714,2
38,78,0,6782,6817,137,161,39881.5059285759,14
39,65,0,6778,6821,109,267,807.5971750030112,1
40,71,0,6778,6821,137,242,41074.575688136596,19
41,68,0,6778,6817,137,161,43537.58989647611,21
42,67,0,6778,6833,163,210,1224.1222258596317,1
43,66,0,6803,6812,159,153,0.0,0
44,78,0,6778,6821,137,264,45365.60650054006,21
45,52,28,6778,6796,166,124,723.5629004973161,1
46,80,0,6778,6821,137,264,47584.15055362517,21
47,66,0,6783,6806,115,249,790.3784646780377,1
48,80,0,6782,6817,137,173,52538.015576373946,21
49,78,0,6778,6872,137,216,45365.60650054006,21
50,56,0,6874,6854,280,90,0.0,0
51,71,0,6822,6795,263,316,1506.6291269327116,1
52,67,0,6881,6862,6,10,1318.721720701149,1
53,76,0,6795,6826,305,64,14992.948431827945,6
54,48,28,6821,6840,351,141,2332.6546007049137,2
55,71,0,6780,6839,87,266,14127.921790398646,7
56,56,0,6813,6809,94,336,3335.6087675056915,3
57,31,45,6828,6858,122,103,1397.740168688013,1
58,59,0,6795,6867,282,107,0.0,0
59,39,40,6840,6828,175,100,3888.2020646871642,2
60,50,30,6811,6839,113,62,0.0,0
61,47,34,6857,6861,93,291,1587.5349969065082,1
62,71,0,6811,6840,171,299,0.0,0
63,31,43,6837,6880,305,25,3405.0695128599255,3
64,61,0,6873,6797,123,19,0.0,0
65,36,39,6798,6877,275,307,1543.875961580177,1
66,53,0,6858,6858,349,214,956.6335434293414,1
67,40,41,6820,6848,76,43,15747.19800442848,12
68,52,28,6795,6882,284,221,0.0,0
69,69,0,6823,6785,284,293,0.0,0
70,80,0,6797,6813,71,31,4722.119021574217,4
71,52,28,6823,6799,124,228,1793.051743654038,1
72,28,50,6820,6779,130,171,0.0,0
73,54,0,6874,6859,319,119,733.782338307712,1
74,46,33,6816,6780,146,39,1506.031375252071,1
75,68,0,6866,6831,286,338,0.0,0
76,53,0,6842,6832,274,11,0.0,0
77,48,28,6876,6794,82,165,842.5967669829806,1
78,57,0,6814,6783,182,77,0.0,0
79,46,28,6833,6847,333,237,2195.0192712729004,2
80,51,29,6860,6798,285,149,0.0,0
81,33,36,6870,6811,22,254,0.0,0
82,64,0,6823,6884,16,88,0.0,0
83,52,28,6887,6845,129,274,0.0,0
84,74,0,6871,6778,109,42,0.0,0
85,49,29,6827,6834,270,9,3552.6387477342423,4
86,53,0,6860,6782,119,175,0.0,0
87,53,0,6881,6819,100,203,3509.2644820983905,2
88,49,30,6792,6819,134,112,1753.7255283820878,2
89,35,28,6803,6876,70,5,2503.0215694148555,2
90,40,29,6821,6876,250,209,0.0,0
91,69,0,6795,6797,231,312,17309.1719211561,7
92,47,30,6873,6842,58,170,3689.0274925053363,3
93,37,37,6882,6811,53,284,730.8044019398881,1
94,75,0,6872,6828,99,156,7313.851642311237,2
95,51,29,6780,6874,212,285,0.0,0
96,75,0,6784,6807,182,77,1261.1333202174487,1
97,58,0,6847,6797,205,68,930.3646571323297,1
98,56,0,6835,6783,319,258,2804.938600800404,3
99,28,44,6816,6826,236,136,8734.998212695442,8
