,sat1,sat2,a1,a2,RAAN1,RAAN2,Eval,Users
0,80,0,6778,6834,137,242,47584.15055362517,21
1,68,0,6778,6834,137,161,43537.58989647611,21
2,67,11,6783,6814,150,276,0.0,0
3,65,14,6778,6834,146,297,742.0285761032374,1
4,73,0,6778,6821,137,161,43399.8330572104,18
5,68,0,6787,6817,137,216,34247.580796838214,20
6,68,0,6785,6821,137,242,35393.69427100921,21
7,63,0,6778,6822,164,121,1920.6558402697929,2
8,73,0,6778,6821,137,242,43399.8330572104,18
9,68,0,6778,6821,137,264,43537.58989647611,21
10,60,12,6778,6827,119,164,0.0,0
11,50,16,6778,6816,103,281,3044.455036971133,2
12,70,7,6778,6821,111,198,778.1515260667438,1
13,80,0,6787,6817,137,173,39254.0145946492,16
14,60,14,6778,6802,144,256,3107.241400802549,3
15,52,6,6780,6825,115,172,0.0,0
16,68,8,6787,6804,137,259,35926.76681235751,21
17,71,0,6778,6804,137,161,41074.575688136596,19
18,80,0,6778,6872,137,218,47584.15055362517,21
19,73,0,6778,6834,137,161,43399.8330572104,18
20,66,2,6803,6799,155,226,0.0,0
21,71,0,6778,6817,137,161,41074.575688136596,19
22,47,32,6778,6831,123,269,7360.97473384292,4
23,78,0,6782,6817,137,264,39881.5059285759,14
24,44,29,6783,6802,162,243,0.0,0
25,39,37,6782,6821,174,271,771.7904298255016,1
26,63,5,6780,6806,154,163,0.0,0
27,43,32,6778,6815,72,281,2574.2986218743945,3
28,67,8,6778,6825,155,210,0.0,0
29,78,0,6782,6821,137,242,39881.5059285759,14
30,80,0,6782,6817,137,264,52538.015576373946,21
31,36,35,6778,6801,152,143,0.0,0
32,58,12,6780,6876,171,200,0.0,0
33,68,0,6782,6834,137,161,36744.15022941955,21
34,71,0,6778,6821,137,264,41074.575688136596,19
35,70,10,6790,6819,128,280,0.0,0
36,45,28,6778,6879,121,252,0.0,0
37,78,0,6778,6821,137,216,45365.60650054006,21
38,44,35,6786,6888,99,199,3240.091542280677,1
39,65,0,6778,6887,142,141,0.0,0
40,78,0,6782,6817,137,161,39881.5059285759,14
41,78,0,6778,6817,137,161,45365.60650054006,21
42,68,8,6782,6817,137,259,36744.15022941955,21
43,80,0,6787,6817,137,264,39254.0145946492,16
44,78,0,6782,6817,137,218,39881.5059285759,14
45,56,11,6785,6836,105,266,1466.1880987554628,1
46,80,0,6782,6827,156,281,0.0,0
47,39,28,6778,6809,140,148,0.0,0
48,40,30,6778,6830,171,259,3820.0862494165367,1
49,68,0,6782,6817,137,216,36744.15022941955,21
50,73,0,6782,6821,137,242,38891.75819047534,19
51,80,0,6787,6872,137,161,39254.0145946492,16
52,78,0,6782,6821,137,264,39881.5059285759,14
53,37,31,6778,6826,163,148,0.0,0
54,52,14,6781,6808,124,298,0.0,0
55,60,0,6884,6865,4,251,1417.306180473126,1
56,41,33,6883,6879,40,262,0.0,0
57,36,29,6850,6883,139,346,0.0,0
58,36,43,6837,6830,213,319,3906.332759619373,4
59,34,46,6824,6880,359,347,4128.275700455171,2
60,36,43,6857,6846,359,259,7407.900943066037,3
61,73,0,6800,6850,75,270,25738.645355007557,13
62,73,0,6804,6875,213,70,0.0,0
63,72,0,6804,6793,136,229,26591.28841596538,17
64,33,47,6845,6887,255,189,799.4917948779084,1
65,61,0,6824,6834,212,341,0.0,0
66,29,28,6810,6864,176,292,0.0,0
67,30,48,6858,6867,85,327,3341.387491111921,2
68,79,0,6853,6844,143,69,0.0,0
69,70,0,6786,6822,46,324,8902.462636741935,1
70,29,39,6827,6884,3,153,1212.5721504775647,1
71,57,0,6857,6830,110,222,0.0,0
72,78,0,6831,6876,44,48,3986.2990585761454,1
73,79,0,6806,6782,52,169,7202.485313746356,4
74,46,33,6849,6830,321,205,3867.2876428451254,2
75,68,0,6861,6782,123,184,0.0,0
76,45,30,6855,6858,335,188,1945.0564902875558,2
77,63,0,6819,6844,159,241,0.0,0
78,75,0,6795,6822,54,166,14598.348726495042,6
79,35,40,6805,6822,150,297,0.0,0
80,76,0,6863,6792,18,48,0.0,0
81,79,0,6847,6860,102,323,4159.359748257041,2
82,38,33,6817,6837,181,162,0.0,0
83,49,31,6811,6844,0,207,4474.513709342846,2
84,47,29,6834,6788,93,293,1747.006227336391,1
85,77,0,6830,6848,275,90,0.0,0
86,72,0,6823,6785,44,192,3640.171699458877,1
87,51,28,6780,6869,359,148,5340.636971044036,2
88,42,31,6785,6784,48,45,6999.288468567376,2
89,36,37,6818,6854,13,171,0.0,0
90,50,31,6875,6847,309,79,2114.2861427378025,2
91,59,0,6831,6820,246,56,0.0,0
92,72,0,6873,6819,284,167,0.0,0
93,29,32,6865,6780,162,39,953.3558478581417,1
94,41,31,6808,6845,165,83,976.5393080258564,1
95,53,0,6883,6839,254,12,769.8765727384671,1
96,33,44,6880,6780,255,68,8869.628625450565,8
97,32,45,6837,6844,13,216,0.0,0
98,53,0,6880,6834,357,58,3307.956893321065,2
99,43,28,6784,6858,265,193,821.686166649185,1
