,sat1,sat2,a1,a2,RAAN1,RAAN2,Eval,Users
0,80,0,6778,6817,137,218,47584.15055362517,21
1,80,0,6778,6834,137,242,47584.15055362517,21
2,68,0,6785,6834,76,161,35882.26644204518,16
3,68,10,6790,6799,109,203,914.5161525396834,1
4,68,0,6778,6804,76,264,34123.63670906387,15
5,58,20,6789,6853,98,134,4217.687023817272,2
6,68,0,6778,6804,76,161,34123.63670906387,15
7,54,16,6778,6815,90,281,6372.901231645992,4
8,68,0,6778,6804,137,264,43537.58989647611,21
9,30,33,6778,6829,121,269,6550.172438732705,4
10,57,19,6778,6798,109,191,880.2062835136412,1
11,64,10,6778,6817,167,166,0.0,0
12,66,8,6778,6788,176,179,0.0,0
13,28,28,6794,6831,161,137,1025.8135172419825,1
14,68,0,6778,6872,76,161,34123.63670906387,15
15,67,4,6778,6835,115,262,0.0,0
16,55,0,6789,6787,97,240,0.0,0
17,55,0,6800,6828,92,211,4918.772637058815,3
18,78,0,6785,6804,137,161,38178.684492136585,16
19,80,0,6778,6817,137,161,47584.15055362517,21
20,73,0,6785,6804,137,242,39468.96543303377,20
21,31,42,6784,6832,102,238,2801.5207809212648,2
22,68,0,6778,6872,137,264,43537.58989647611,21
23,65,0,6794,6816,36,262,927.5586553213398,1
24,78,0,6778,6804,76,242,39076.93402408961,14
25,60,12,6781,6811,140,153,759.6475393437313,1
26,68,0,6778,6817,76,216,34123.63670906387,15
27,55,19,6778,6816,120,184,0.0,0
28,67,2,6779,6831,153,194,0.0,0
29,60,15,6778,6814,130,242,0.0,0
30,68,0,6778,6834,76,161,34123.63670906387,15
31,71,0,6782,6816,149,272,1501.6520080555347,1
32,48,10,6778,6824,73,247,3343.426777912289,4
33,28,33,6789,6817,126,271,0.0,0
34,78,0,6782,6817,137,216,39881.5059285759,14
35,61,14,6778,6811,152,189,0.0,0
36,34,44,6792,6785,165,209,1106.1250352750285,1
37,68,0,6778,6834,137,161,43537.58989647611,21
38,73,8,6778,6796,168,230,1376.1142190981209,1
39,68,8,6782,6821,77,259,34614.07133263179,17
40,80,0,6781,6824,169,144,0.0,0
41,71,0,6778,6817,137,173,41074.575688136596,19
42,57,8,6785,6806,98,214,3979.2831121701142,2
43,68,0,6778,6817,76,264,34123.63670906387,15
44,50,17,6782,6799,174,264,0.0,0
45,73,0,6778,6821,137,264,43399.8330572104,18
46,61,13,6778,6817,103,140,3582.510139678487,2
47,77,0,6789,6818,159,240,0.0,0
48,35,40,6778,6802,87,272,4650.085593668068,3
49,61,5,6778,6811,110,231,767.1318425028876,1
50,62,17,6792,6823,126,300,0.0,0
51,48,32,6791,6785,43,170,4163.923369741443,3
52,59,15,6796,6801,81,194,10483.360231078472,6
53,59,19,6791,6806,149,131,1466.404216415005,1
54,71,0,6778,6817,137,218,41074.575688136596,19
55,68,0,6787,6817,137,264,34247.580796838214,20
56,68,0,6787,6872,137,161,34247.580796838214,20
57,65,10,6786,6831,170,235,0.0,0
58,58,11,6778,6800,175,207,0.0,0
59,75,3,6778,6832,147,255,0.0,0
60,78,0,6778,6817,76,216,39076.93402408961,14
61,79,0,6836,6806,2,62,6390.127709902578,2
62,48,31,6785,6878,122,149,0.0,0
63,34,34,6887,6787,310,289,2010.3664353174254,2
64,29,40,6836,6794,47,211,4416.90707783819,2
65,66,0,6848,6808,336,197,1083.8799364634579,1
66,68,0,6835,6881,29,104,0.0,0
67,67,0,6782,6826,354,311,8577.092177519076,2
68,45,30,6862,6841,220,55,4295.615407448166,2
69,34,46,6864,6871,196,199,0.0,0
70,68,0,6814,6885,341,162,930.7937791964205,1
71,51,28,6886,6792,151,101,1478.1107067409603,1
72,65,0,6822,6808,238,169,0.0,0
73,70,0,6802,6801,25,284,0.0,0
74,64,0,6873,6809,347,321,944.6979777258948,1
75,32,48,6808,6811,209,299,0.0,0
76,48,28,6879,6877,176,331,1313.730237915257,1
77,71,0,6798,6862,292,20,0.0,0
78,61,0,6811,6837,9,71,1201.8378357451895,1
79,57,0,6788,6848,319,234,6769.186833528145,5
80,79,0,6810,6862,344,131,1042.7004938179246,1
81,63,0,6871,6786,219,342,0.0,0
82,38,42,6836,6851,100,53,5502.979598672728,4
83,64,0,6852,6782,333,20,2524.5577628175006,2
84,30,38,6824,6788,293,39,923.4230039042409,1
85,74,0,6850,6846,126,71,0.0,0
86,45,28,6815,6834,324,242,2900.7737705801114,2
87,73,0,6799,6873,25,264,0.0,0
88,28,33,6854,6784,227,188,2807.5905658946613,1
89,55,0,6847,6840,10,336,892.1538502572173,1
90,35,44,6810,6786,56,114,6781.6927069269,3
91,28,29,6831,6837,340,299,0.0,0
92,30,35,6809,6838,304,41,3071.941217294665,3
93,45,34,6783,6883,14,309,0.0,0
94,46,34,6832,6855,171,320,1009.8310698646201,1
95,75,0,6865,6778,35,198,0.0,0
96,32,39,6849,6866,52,137,0.0,0
97,60,0,6789,6876,60,281,5609.247089189962,4
98,80,0,6795,6821,75,263,28739.494146865545,14
99,52,28,6843,6839,128,65,0.0,0
