,a1,a2,RAAN1,RAAN2,Eval,Users
0,6851,6796,269,76,30,17
1,6817,6760,269,67,30,15
2,6851,6788,269,67,27,14
3,6831,6777,269,67,27,14
4,6831,6777,269,80,25,13
5,6851,6788,285,67,17,9
6,6856,6777,285,77,20,10
7,6836,6788,275,75,10,6
8,6831,6788,269,67,26,14
9,6835,6808,209,55,4,2
10,6869,6790,-36,108,0,0
11,6831,6777,269,76,28,16
12,6853,6780,257,52,4,2
13,6838,6821,288,91,0,0
14,6867,6769,264,54,6,3
15,6818,6778,255,74,7,4
16,6856,6777,269,76,27,15
17,6830,6807,286,113,0,0
18,6861,6775,258,37,2,1
19,6856,6777,296,68,13,8
20,6827,6760,261,41,0,0
21,6867,6787,285,77,18,9
22,6865,6808,255,40,0,0
23,6863,6806,269,86,13,8
24,6831,6760,269,67,29,15
25,6853,6796,264,80,15,8
26,6861,6777,269,80,22,11
27,6871,6806,246,48,2,1
28,6853,6763,247,52,2,1
29,6831,6788,269,80,21,12
30,6817,6760,265,67,20,10
31,6863,6777,285,76,19,11
32,6845,6766,252,98,2,1
33,6817,6760,17,67,20,10
34,6851,6808,287,49,2,1
35,6861,6806,240,77,11,6
36,6853,6794,269,75,20,11
37,6851,6777,264,54,8,4
38,6856,6760,269,67,28,14
39,6861,6788,285,75,10,6
40,6858,6804,315,88,10,5
41,6831,6796,269,67,26,14
42,6837,6785,242,79,11,6
43,6848,6806,315,61,4,2
44,6867,6787,-2,77,18,9
45,6814,6768,281,91,3,2
46,6859,6783,258,65,2,1
47,6863,6788,285,75,10,6
48,6807,6813,6,311,2,1
49,6879,6823,273,167,0,0
