,a1,a2,RAAN1,RAAN2,Eval,Users
0,6865,6796,295,76,20,12
1,6853,6783,307,76,20,12
2,6851,6853,269,76,18,9
3,6791,6783,173,76,18,11
4,6853,6783,269,261,10,5
5,6851,6796,231,261,4,2
6,6807,6857,231,261,6,3
7,6856,6831,318,69,0,0
8,6881,6789,314,61,4,2
9,6867,6854,17,268,7,4
10,6812,6777,269,67,25,13
11,6841,6795,68,261,0,0
12,6834,6807,61,287,0,0
13,6819,6775,362,50,0,0
14,6851,6853,231,176,4,2
15,6813,6846,186,101,6,3
16,6867,6854,17,76,8,4
17,6851,6778,269,261,12,6
18,6860,6855,286,283,0,0
19,6824,6843,299,53,0,0
20,6862,6861,17,308,2,1
21,6794,6851,218,293,0,0
22,6851,6827,269,76,22,12
23,6857,6786,280,55,4,2
24,6813,6788,233,306,7,4
25,6853,6799,199,67,15,8
26,6866,6767,298,81,10,5
27,6841,6877,300,276,0,0
28,6770,6788,269,261,12,6
29,6853,6858,307,76,12,6
30,6851,6842,312,76,13,7
31,6805,6862,297,93,2,1
32,6870,6860,277,46,2,1
33,6846,6849,264,190,0,0
34,6815,6855,232,41,3,2
35,6791,6778,173,261,2,1
36,6797,6797,180,77,16,9
37,6823,6817,238,304,1,1
38,6867,6858,269,268,11,6
39,6841,6862,299,321,2,1
40,6853,6861,269,261,9,5
41,6766,6787,196,106,2,1
42,6853,6783,231,261,7,4
43,6787,6803,207,94,1,1
44,6872,6864,-3,267,2,1
45,6851,6783,173,76,18,11
46,6811,6795,167,322,1,1
47,6823,6764,374,74,8,4
48,6860,6881,124,121,0,0
49,6875,6865,268,199,4,2
