,a1,a2,RAAN1,RAAN2,Eval,Users
0,6851,6796,269,76,30,17
1,6851,6788,269,76,30,17
2,6853,6796,269,76,28,16
3,6831,6777,269,67,27,14
4,6812,6777,269,76,26,15
5,6853,6777,285,75,17,9
6,6855,6836,270,92,2,1
7,6870,6781,294,53,1,1
8,6839,6829,243,49,1,1
9,6851,6780,239,52,2,1
10,6865,6794,268,102,7,5
11,6867,6859,269,76,14,8
12,6867,6799,267,94,2,1
13,6879,6786,278,84,2,1
14,6859,6859,285,76,6,4
15,6831,6777,17,76,19,11
16,6851,6796,231,76,24,14
17,6861,6788,264,75,10,6
18,6837,6859,280,76,6,4
19,6812,6777,285,75,17,9
20,6873,6790,291,36,0,0
21,6860,6798,283,63,0,0
22,6855,6775,242,78,8,5
23,6861,6777,269,76,25,14
24,6861,6796,280,76,20,12
25,6833,6845,302,116,1,1
26,6861,6788,264,67,17,9
27,6851,6788,285,67,17,9
28,6837,6788,285,69,2,2
29,6856,6805,233,54,11,6
30,6851,6842,269,76,20,10
31,6859,6842,285,76,10,5
32,6831,6796,285,75,12,7
33,6863,6806,286,80,13,7
34,6840,6766,272,64,0,0
35,6837,6859,264,76,6,4
36,6831,6796,17,76,20,12
37,6863,6783,246,101,4,2
38,6861,6796,231,76,25,15
39,6836,6788,239,86,9,5
40,6842,6763,283,61,0,0
41,6867,6804,266,106,2,1
42,6837,6805,304,113,0,0
43,6866,6794,219,72,2,1
44,6863,6791,-22,106,2,1
45,6818,6813,13,353,2,1
46,6879,6871,70,272,0,0
47,6795,6810,32,117,4,3
48,6798,6783,128,161,0,0
49,6801,6845,217,119,0,0
