,a1,a2,RAAN1,RAAN2,Eval,Users
0,6851,6796,269,76,30,17
1,6853,6796,269,76,28,16
2,6831,6777,269,67,27,14
3,6855,6775,254,38,0,0
4,6838,6811,203,39,2,1
5,6859,6788,285,67,17,9
6,6857,6851,282,43,0,0
7,6851,6777,17,76,19,11
8,6877,6865,298,50,0,0
9,6863,6806,269,80,20,11
10,6861,6788,285,75,10,6
11,6856,6795,259,76,23,13
12,6863,6810,223,25,0,0
13,6861,6788,239,75,10,6
14,6832,6796,277,50,0,0
15,6851,6788,269,78,18,10
16,6856,6805,242,78,9,5
17,6869,6782,302,40,0,0
18,6857,6759,289,96,0,0
19,6840,6808,275,52,1,1
20,6879,6771,273,112,1,1
21,6861,6796,264,76,20,12
22,6851,6794,269,76,32,17
23,6861,6796,280,76,20,12
24,6851,6788,264,67,17,9
25,6851,6800,263,64,0,0
26,6863,6796,285,80,15,8
27,6836,6787,278,60,2,1
28,6865,6796,244,104,0,0
29,6851,6859,269,76,16,9
30,6876,6849,300,100,4,2
31,6861,6788,264,75,10,6
32,6831,6859,269,75,13,7
33,6863,6787,206,60,2,1
34,6837,6806,246,49,2,1
35,6855,6777,242,76,19,11
36,6831,6768,302,51,0,0
37,6843,6770,-5,89,4,2
38,6836,6777,269,86,19,10
39,6854,6792,301,49,2,1
40,6855,6785,265,54,6,3
41,6837,6764,302,109,0,0
42,6844,6771,291,74,8,4
43,6866,6790,315,92,4,2
44,6831,6796,269,76,29,17
45,6837,6776,246,96,0,0
46,6832,6795,227,289,0,0
47,6848,6798,82,241,1,1
48,6879,6820,27,98,1,1
49,6870,6815,116,33,0,0
