,a1,a2,RAAN1,RAAN2,Eval,Users
0,6849,6777,269,67,28,14
1,6812,6796,269,76,27,16
2,6812,6777,269,67,25,13
3,6853,6796,231,76,25,15
4,6867,6796,231,76,24,15
5,6859,6788,285,76,20,12
6,6864,6798,236,35,0,0
7,6861,6788,285,75,10,6
8,6851,6858,269,67,12,7
9,6873,6874,-9,68,0,0
10,6880,6813,213,91,0,0
11,6797,6776,240,64,0,0
12,6831,6777,269,67,27,14
13,6851,6796,269,76,30,17
14,6861,6796,269,67,23,12
15,6868,6851,237,48,2,1
16,6861,6858,280,76,10,5
17,6867,6796,312,76,24,14
18,6885,6844,16,78,2,2
19,6852,6846,234,110,0,0
20,6851,6858,231,76,14,7
21,6846,6859,271,69,0,0
22,6851,6788,269,67,27,14
23,6831,6788,264,76,20,12
24,6850,6789,266,94,1,1
25,6856,6758,245,30,0,0
26,6851,6796,280,76,20,12
27,6855,6876,293,95,0,0
28,6851,6842,280,76,10,5
29,6850,6846,245,85,0,0
30,6878,6849,307,36,2,1
31,6853,6796,280,76,20,12
32,6862,6856,258,112,2,1
33,6857,6787,203,107,2,1
34,6861,6796,280,76,20,12
35,6853,6796,269,76,28,16
36,6867,6777,17,76,19,11
37,6833,6786,308,76,20,10
38,6859,6854,324,93,2,1
39,6861,6806,325,76,7,4
40,6870,6840,294,91,0,0
41,6860,6809,271,93,2,1
42,6829,6792,307,35,3,2
43,6842,6851,-10,249,0,0
44,6827,6780,267,72,4,2
45,6865,6874,299,57,1,1
46,6876,6842,269,93,8,4
47,6851,6802,201,112,0,0
48,6835,6863,271,286,0,0
49,6851,6788,285,76,20,12
