,a1,a2,RAAN1,RAAN2,Eval,Users
0,6760,6762,137,81,101.33333333333333,38
1,6750,6803,77,67,70.93596059113301,30
2,6762,6803,137,67,69.95049504950495,30
3,6769,6773,43,39,0.7536945812807883,3
4,6762,6768,116,81,23.27586206896552,21
5,6778,6806,140,91,0.5742574257425742,4
6,6758,6785,87,84,7.262376237623763,9
7,6766,6778,149,42,1.0246305418719213,4
8,6790,6783,48,63,0.8059701492537313,3
9,6747,6805,92,83,2.876237623762376,7
10,6759,6806,128,44,0.3880597014925373,2
11,6832,6819,104,82,1.4619289340101522,6
12,6831,6774,137,90,23.134328358208954,25
13,6762,6774,104,90,4.0344827586206895,9
14,6769,6774,56,53,5.413793103448276,7
15,6749,6809,79,48,41.14285714285714,24
16,6784,6804,151,67,4.633663366336634,9
17,6749,6800,131,50,0.3,2
18,6762,6810,137,67,67.86069651741293,31
19,6768,6787,115,73,3.842364532019704,10
20,6737,6811,25,37,0.0,0
21,6763,6784,176,71,1.0643564356435644,5
22,6802,6803,43,23,0.37623762376237624,2
23,6831,6774,77,67,33.11111111111111,22
24,6762,6795,117,66,8.407960199004975,13
25,6747,6811,157,117,0.5544554455445545,4
26,6768,6779,116,62,1.7733990147783252,6
27,6750,6804,77,80,61.862068965517246,26
28,6771,6764,98,101,1.0396039603960396,2
29,6784,6804,66,80,22.455445544554458,21
30,6769,6776,108,74,8.17910447761194,12
31,6755,6779,190,33,0.06896551724137931,1
32,6778,6764,78,80,49.064039408866996,24
33,6768,6789,35,51,0.5522388059701493,3
34,6784,6804,86,42,6.231155778894473,10
35,6760,6774,56,81,32.37931034482759,21
36,6784,6804,77,80,44.776119402985074,25
37,6760,6782,164,81,13.886138613861386,17
38,6814,6822,137,87,29.56852791878173,25
39,6789,6767,72,41,3.3582089552238807,9
40,6733,6784,48,33,0.270935960591133,1
41,6829,6782,94,52,2.4000000000000004,6
42,6821,6817,137,93,18.335,19
43,6762,6822,137,80,65.25,30
44,6751,6787,172,66,2.7761194029850746,9
45,6760,6762,104,81,22.28855721393035,20
46,6869,6835,249,144,0.07368421052631578,2
47,6821,6873,300,257,0.11940298507462686,1
48,6797,6864,110,154,0.0,0
49,6802,6778,71,177,0.4925373134328358,3
