,a1,a2,RAAN1,RAAN2,Eval,Users
0,6786,6828,78,328,24.65671641791045,21
1,6836,6789,20,77,19.31818181818182,17
2,6786,6826,73,108,3.1049999999999995,9
3,6823,6811,57,276,1.1144278606965174,4
4,6816,6810,1,344,0.54,2
5,6786,6823,2,344,0.47,2
6,6816,6832,1,96,1.42,4
7,6833,6811,323,342,0.3015075376884422,2
8,6770,6801,325,343,0.7722772277227723,3
9,6819,6895,357,18,0.40816326530612246,2
10,6803,6791,254,304,0.7920792079207921,4
11,6833,6816,334,192,0.6865671641791045,3
12,6820,6811,334,351,1.3134328358208955,4
13,6823,6806,57,276,1.108910891089109,4
14,6816,6826,1,108,0.54,2
15,6826,6891,289,14,0.0,0
16,6828,6810,345,326,0.5223880597014926,3
17,6783,6826,137,96,27.791044776119403,21
18,6833,6794,187,260,0.594059405940594,2
19,6821,6806,32,71,0.6153846153846154,4
20,6821,6818,30,312,1.0597014925373134,3
21,6891,6841,48,81,1.8478260869565215,5
22,6874,6797,322,139,0.40404040404040403,2
23,6816,6817,93,334,1.5841584158415842,4
24,6802,6819,309,336,2.611940298507463,7
25,6881,6827,350,154,0.0625,1
26,6834,6809,-7,220,0.16831683168316833,1
27,6786,6828,78,141,16.72,19
28,6882,6817,93,260,0.417910447761194,2
29,6783,6826,306,282,1.8415841584158417,4
30,6805,6817,314,140,1.2475247524752475,3
31,6833,6795,21,260,0.12871287128712872,1
32,6806,6808,-22,184,0.0594059405940594,1
33,6870,6855,111,58,0.7714285714285714,3
34,6875,6817,50,140,0.061224489795918366,1
35,6819,6814,297,285,0.0,0
36,6783,6816,323,317,1.9405940594059405,4
37,6828,6811,60,328,1.6119402985074627,4
38,6806,6831,285,326,0.4752475247524752,3
39,6822,6884,324,344,0.3076923076923077,2
40,6834,6834,124,371,0.0,0
41,6814,6822,123,334,0.735,3
42,6836,6855,20,274,0.0,0
43,6835,6808,331,192,0.34,2
44,6857,6847,45,170,0.1935483870967742,1
45,6883,6832,235,345,0.0,0
46,6821,6854,91,6,0.39593908629441626,3
47,6851,6808,215,87,1.3467336683417086,4
48,6864,6861,91,195,0.05649717514124294,1
49,6822,6785,29,212,0.0,0
