,a1,a2,RAAN1,RAAN2,Eval,Users
0,6774,6783,81,88,23716.801052736995,35
1,6823,6788,81,75,23577.295598881006,30
2,6831,6797,67,82,21518.932090158156,31
3,6789,6769,84,68,20167.992772448593,29
4,6808,6761,54,70,19377.58268651603,30
5,6843,6835,135,266,9656.708153896043,18
6,6782,6801,45,124,935.8222157382406,1
7,6774,6783,81,59,23116.77765525628,36
8,6848,6797,44,91,4774.050719129618,7
9,6839,6797,68,67,10840.411903069911,10
10,6823,6783,81,75,24365.092960476344,31
11,6854,6775,145,106,1943.4825041467666,3
12,6799,6765,77,91,21702.805638894606,30
13,6845,6806,97,57,5331.331638718408,7
14,6791,6831,102,79,13998.96478839658,21
15,6831,6788,133,73,10042.822937518153,17
16,6809,6850,71,53,8883.547617393375,15
17,6831,6797,135,59,11449.914375864497,20
18,6813,6783,98,96,3193.840012562473,4
19,6831,6779,33,36,443.6685713369079,1
20,6843,6775,84,68,15416.930683497907,21
21,6815,6795,122,92,3661.562886639649,6
22,6809,6783,67,75,22932.2378874678,29
23,6808,6761,54,75,18795.04054822545,24
24,6831,6766,103,82,16791.29985799025,28
25,6790,6765,152,94,3123.0300962205483,6
26,6819,6783,147,55,5039.894699431361,7
27,6803,6760,92,62,5547.598219339252,10
28,6815,6778,81,74,20808.852275218942,28
29,6813,6787,111,59,2799.8765589790273,4
30,6854,6796,106,106,1977.2980052686908,3
31,6824,6777,115,90,5991.060250643341,9
32,6826,6796,31,302,1587.5777471242322,3
33,6831,6769,133,82,16514.142074759206,28
34,6813,6785,45,65,7160.77208848917,12
35,6829,6779,112,46,1348.5908039559217,2
36,6807,6831,102,79,14032.211131195196,21
37,6854,6797,67,59,10631.316404092646,13
38,6831,6775,133,72,10936.620443428106,20
39,6790,6843,77,95,18917.79097233183,27
40,6763,6797,75,119,15871.31549236574,23
41,6783,6771,81,82,22140.26725573292,29
42,6788,6834,107,80,13759.490204950998,19
43,6823,6752,115,39,1696.8022476182741,3
44,6809,6788,133,73,10509.680254088868,18
45,6777,6823,82,242,14731.560191917404,24
46,6806,6814,291,56,3635.35936171964,5
47,6816,6759,76,63,17321.86463568655,26
48,6825,6772,92,68,15459.316958695847,21
49,6817,6843,87,33,3704.7367028063163,5
