,a1,a2,RAAN1,RAAN2,Eval,Users
0,6789,6757,76,141,138,71
1,6783,6773,132,70,130,65
2,6809,6760,69,84,129,65
3,6796,6797,69,87,126,64
4,6801,6793,69,83,124,62
5,6793,6766,169,44,17,9
6,6805,6811,85,126,76,38
7,6815,6795,129,109,12,6
8,6783,6834,74,84,114,58
9,6838,6757,69,75,110,55
10,6801,6808,69,87,110,58
11,6801,6772,109,72,102,52
12,6775,6761,108,142,56,28
13,6866,6756,23,78,95,49
14,6796,6808,50,87,68,37
15,6792,6842,34,57,10,5
16,6804,6800,93,94,20,10
17,6813,6777,24,60,34,17
18,6814,6779,133,88,126,64
19,6806,6777,109,113,18,9
20,6783,6797,132,70,114,57
21,6796,6757,69,75,110,55
22,6817,6749,56,77,117,61
23,6801,6790,132,87,124,65
24,6818,6792,33,74,94,49
25,6782,6786,96,71,101,51
26,6806,6810,165,111,14,8
27,6790,6808,76,75,92,48
28,6845,6822,37,56,14,8
29,6796,6797,69,73,91,47
30,6792,6796,48,40,15,8
31,6798,6765,80,103,77,39
32,6801,6790,69,83,124,62
33,6782,6797,96,84,82,41
34,6809,6808,69,75,100,50
35,6801,6808,69,83,121,61
36,6806,6789,74,99,89,47
37,6823,6816,169,82,72,37
38,6839,6807,85,74,96,51
39,6802,6793,160,99,15,8
40,6801,6808,111,74,97,51
41,6809,6797,132,87,120,63
42,6809,6808,69,87,115,61
43,6789,6797,69,83,124,62
44,6809,6807,170,80,75,38
45,6796,6793,69,87,129,66
46,6808,6786,94,43,27,14
47,6789,6800,58,83,94,48
48,6808,6840,269,191,22,11
49,6862,6856,274,242,8,4
