,a1,a2,RAAN1,RAAN2,Eval,Users
0,6768,6762,84,71,371.6009852216749,47
1,6759,6768,79,74,368.6453201970444,45
2,6768,6768,84,73,350.0,49
3,6740,6800,77,73,331.5024630541872,43
4,6784,6752,74,87,325.41871921182263,45
5,6743,6763,86,40,147.10344827586206,27
6,6780,6785,104,80,123.22772277227722,28
7,6778,6744,102,88,126.22167487684729,27
8,6759,6768,77,74,325.37438423645324,41
9,6776,6768,75,73,247.58128078817734,33
10,6759,6816,76,73,182.95566502463055,30
11,6770,6756,64,112,35.76354679802956,11
12,6781,6790,79,74,276.6485148514852,41
13,6774,6832,42,53,8.643564356435643,6
14,6776,6816,74,87,160.54455445544554,30
15,6754,6806,75,43,194.7881773399015,34
16,6759,6809,89,43,81.06403940886699,22
17,6740,6800,79,73,327.39408866995075,41
18,6760,6794,106,101,6.403940886699507,5
19,6801,6792,60,108,11.524752475247524,8
20,6768,6768,76,43,107.27586206896551,21
21,6742,6756,85,88,272.1231527093596,37
22,6740,6768,88,108,125.42364532019705,27
23,6784,6787,101,94,9.712871287128714,6
24,6756,6755,116,95,15.724137931034482,7
25,6784,6799,70,80,268.4306930693069,43
26,6762,6791,119,48,6.975369458128079,4
27,6772,6816,78,73,184.9064039408867,32
28,6740,6768,76,108,173.3793103448276,28
29,6748,6790,111,58,27.310344827586206,12
30,6772,6773,77,50,125.91133004926108,24
31,6768,6800,84,73,311.049504950495,48
32,6771,6749,62,88,196.72413793103448,35
33,6776,6816,70,74,168.35467980295567,32
34,6769,6729,117,72,192.55172413793105,28
35,6779,6743,70,84,400.2463054187192,50
36,6759,6775,79,74,303.064039408867,38
37,6757,6800,89,73,252.04433497536948,45
38,6775,6751,105,46,12.482758620689655,7
39,6770,6745,24,37,2.7339901477832513,3
40,6741,6802,101,17,7.463054187192118,5
41,6768,6746,55,108,23.891625615763544,10
42,6759,6778,108,77,115.39901477832511,26
43,6781,6769,62,98,28.861386138613863,11
44,6777,6782,118,101,8.97029702970297,6
45,6761,6814,84,93,175.6896551724138,35
46,6780,6817,274,259,8.732673267326733,7
47,6868,6802,326,94,12.544554455445544,7
48,6881,6787,12,358,1.8217821782178218,2
49,6857,6847,341,174,0.5364583333333334,1
