,a1,a2,RAAN1,RAAN2,Eval,Users
0,6812,6816,33,206,0,0
1,6812,6854,175,57,0,0
2,6815,6839,264,25,0,0
3,6827,6856,37,28,0,0
4,6816,6852,22,21,0,0
5,6824,6871,23,55,0,0
6,6803,6841,199,277,0,0
7,6848,6805,241,78,0,0
8,6828,6882,81,20,0,0
9,6834,6862,5,63,0,0
10,6814,6851,16,185,0,0
11,6815,6881,63,28,0,0
12,6841,6810,264,25,0,0
13,6829,6873,201,283,0,0
14,6844,6864,144,200,0,0
15,6831,6833,173,216,0,0
16,6805,6846,158,287,0,0
17,6813,6867,42,24,0,0
18,6834,6885,264,275,0,0
19,6841,6810,227,283,0,0
20,6813,6872,164,284,0,0
21,6813,6859,135,17,0,0
22,6814,6878,173,1,0,0
23,6833,6838,29,49,0,0
24,6812,6878,227,57,0,0
25,6794,6864,50,266,0,0
26,6808,6861,55,-16,0,0
27,6849,6810,202,116,0,0
28,6809,6894,234,295,0,0
29,6829,6842,19,-4,0,0
