,a,i,RAAN,NumPlanes,NumSatxPlane,InterRAAN,Eval
0,6535.0,98.0,79.0,10.0,7.0,0.0669381849089034,57.800000000000004
1,6639.0,97.0,65.0,8.0,29.0,3.561158879348896,55.400000000000006
2,6639.0,97.0,65.0,8.0,29.0,3.561158879348896,55.400000000000006
3,6535.0,98.0,79.0,10.0,7.0,8.137302063542815,41.2
4,6639.0,97.0,78.0,8.0,29.0,3.561158879348896,32.8
5,6514.0,105.0,67.0,1.0,136.0,8.953348382341991,0.0
6,6600.0,117.0,74.0,10.0,7.0,0.0669381849089034,0.0
7,6893.0,108.0,97.0,14.0,10.0,1.3482313049904748,0.0
8,6487.0,82.0,72.0,1.0,136.0,0.0669381849089034,0.0
9,6700.0,114.0,58.0,8.0,29.0,3.561158879348896,0.0
10,6465.0,98.0,130.0,1.0,136.0,0.0669381849089034,0.0
11,6415.0,118.0,90.0,1.0,136.0,0.0669381849089034,0.0
12,6671.0,88.0,98.0,48.0,2.0,3.3164526635980973,0.0
13,6860.0,64.0,95.0,32.0,4.0,4.215068364698547,0.0
14,6639.0,97.0,92.0,8.0,29.0,9.5238439333167,4.8
15,6971.0,70.0,12.0,39.0,2.0,9.658181551754248,0.0
16,6430.0,81.0,61.0,59.0,4.0,9.156881287882028,0.0
17,6909.0,102.0,61.0,14.0,10.0,3.3164526635980973,0.0
18,6356.0,73.0,42.0,59.0,4.0,8.137302063542815,0.0
19,6671.0,88.0,78.0,8.0,29.0,3.561158879348896,0.0
20,6833.0,65.0,57.0,14.0,10.0,1.3482313049904748,0.0
21,6918.0,107.0,57.0,4.0,56.0,9.5238439333167,0.0
22,6818.0,122.0,37.0,14.0,10.0,1.3482313049904748,0.0
23,6499.0,105.0,85.0,80.0,1.0,0.0669381849089034,1.0
24,6430.0,88.0,78.0,59.0,4.0,8.137302063542815,0.0
25,6494.0,93.0,82.0,8.0,3.0,4.560338926703973,0.0
26,6639.0,81.0,65.0,8.0,29.0,8.137302063542815,0.0
27,6617.0,125.0,116.0,8.0,29.0,3.561158879348896,0.0
28,6957.0,53.0,44.0,21.0,4.0,7.85719954930193,0.0
29,6639.0,107.0,85.0,4.0,56.0,9.5238439333167,0.0
30,6531.0,84.0,96.0,8.0,3.0,0.0669381849089034,0.0
31,6535.0,102.0,79.0,10.0,7.0,8.137302063542815,0.0
32,6973.0,108.0,96.0,14.0,10.0,8.953348382341991,0.0
33,6948.0,135.0,85.0,39.0,2.0,9.658181551754248,0.0
34,6561.0,95.0,84.0,1.0,136.0,9.156881287882028,0.0
35,6893.0,98.0,65.0,8.0,29.0,3.561158879348896,5.6000000000000005
36,6563.0,128.0,66.0,1.0,136.0,8.953348382341991,0.0
37,6473.0,97.0,98.0,48.0,2.0,3.561158879348896,3.8
38,6499.0,115.0,34.0,8.0,29.0,8.953348382341991,0.0
39,6943.0,102.0,85.0,80.0,1.0,9.156881287882028,0.0
40,6530.0,140.0,90.0,1.0,136.0,9.156881287882028,0.0
41,6642.0,67.0,94.0,8.0,29.0,3.561158879348896,0.0
42,6948.0,97.0,65.0,8.0,29.0,9.658181551754248,0.0
43,6918.0,108.0,57.0,14.0,10.0,7.85719954930193,0.0
44,6639.0,115.0,34.0,8.0,29.0,3.561158879348896,0.0
45,6874.0,104.0,89.0,80.0,1.0,9.156881287882028,0.0
46,6465.0,84.0,61.0,10.0,7.0,0.0669381849089034,0.0
47,6538.0,65.0,66.0,10.0,7.0,0.0669381849089034,0.0
48,6535.0,98.0,79.0,32.0,4.0,4.215068364698547,15.0
49,6979.0,100.0,38.0,39.0,2.0,9.658181551754248,0.0
